"Comparison","Taxa","Method","Group","LDA","P.unadj","P.adj","Significance","Taxa_clean"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Acidobacteriota|c__Acidobacteriae","LEfSe","Mining",4.70170734779134,0.000129503858386399,0.00037994577386294,"***","Bacteria | Acidobacteriota | Acidobacteriae"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales","LEfSe","Mining",4.70170734779134,0.000129503858386399,0.00037994577386294,"***","Bacteria | Acidobacteriota | Acidobacteriae | Acidobacteriales"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Acidobacteriota","LEfSe","Mining",4.67919231275044,0.000197735143110378,0.00037994577386294,"***","Bacteria | Acidobacteriota"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae","LEfSe","Mining",4.66892613530753,0.000189729147516393,0.00037994577386294,"***","Bacteria | Acidobacteriota | Acidobacteriae | Acidobacteriales | Acidobacteriaceae"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Acidobacteriota|c__Acidobacteriae|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidipila","LEfSe","Mining",4.66892613530753,0.000189729147516393,0.00037994577386294,"***","Bacteria | Acidobacteriota | Acidobacteriae | Acidobacteriales | Acidobacteriaceae | Acidipila"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Methylomirabilota|c__Methylomirabilia","LEfSe","Control",4.65468320556207,0.000305511966530376,0.000445538284523464,"***","Bacteria | Methylomirabilota | Methylomirabilia"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Methylomirabilota","LEfSe","Control",4.65468320556207,0.000305511966530376,0.000445538284523464,"***","Bacteria | Methylomirabilota"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Methylomirabilota|c__Methylomirabilia|o__Methylomirabilales","LEfSe","Control",4.65468320556207,0.000305511966530376,0.000445538284523464,"***","Bacteria | Methylomirabilota | Methylomirabilia | Methylomirabilales"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Methylomirabilota|c__Methylomirabilia|o__Methylomirabilales|f__Methylomirabilaceae","LEfSe","Control",4.65468320556207,0.000305511966530376,0.000445538284523464,"***","Bacteria | Methylomirabilota | Methylomirabilia | Methylomirabilales | Methylomirabilaceae"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Methylomirabilota|c__Methylomirabilia|o__Methylomirabilales|f__Methylomirabilaceae|g__Methylomirabilis","LEfSe","Control",4.65468320556207,0.000305511966530376,0.000445538284523464,"***","Bacteria | Methylomirabilota | Methylomirabilia | Methylomirabilales | Methylomirabilaceae | Methylomirabilis"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales","LEfSe","Tailing",4.6379840885002,0.000197735143110378,0.00037994577386294,"***","Bacteria | Bacteroidota | Bacteroidia | Flavobacteriales"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae","LEfSe","Tailing",4.6379840885002,0.000197735143110378,0.00037994577386294,"***","Bacteria | Bacteroidota | Bacteroidia | Flavobacteriales | Flavobacteriaceae"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Flavobacterium","LEfSe","Tailing",4.6379840885002,0.000197735143110378,0.00037994577386294,"***","Bacteria | Bacteroidota | Bacteroidia | Flavobacteriales | Flavobacteriaceae | Flavobacterium"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Actinobacteriota|c__Actinomycetia","LEfSe","Smelting",4.63095512276962,0.000118830365898211,0.00037994577386294,"***","Bacteria | Actinobacteriota | Actinomycetia"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Actinobacteriota|c__Thermoleophilia","LEfSe","Control",4.62796456281196,0.000180891606678217,0.00037994577386294,"***","Bacteria | Actinobacteriota | Thermoleophilia"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Bacteroidota","LEfSe","Tailing",4.62029399698712,7.90046165867986e-05,0.00037994577386294,"***","Bacteria | Bacteroidota"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Micrococcales","LEfSe","Smelting",4.61245983991248,0.000129503858386398,0.00037994577386294,"***","Bacteria | Actinobacteriota | Actinomycetia | Micrococcales"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae","LEfSe","Smelting",4.61245983991248,0.000129503858386398,0.00037994577386294,"***","Bacteria | Actinobacteriota | Actinomycetia | Micrococcales | Micrococcaceae"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Arthrobacter","LEfSe","Smelting",4.61245983991248,0.000129503858386398,0.00037994577386294,"***","Bacteria | Actinobacteriota | Actinomycetia | Micrococcales | Micrococcaceae | Arthrobacter"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Bacillota|c__Clostridia","LEfSe","Smelting",4.6118942509774,7.90046165867986e-05,0.00037994577386294,"***","Bacteria | Bacillota | Clostridia"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Chloroflexi|c__Thermomicrobia","LEfSe","Mining",4.61019706252691,0.000140235666560842,0.00037994577386294,"***","Bacteria | Chloroflexi | Thermomicrobia"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Thermomicrobiales","LEfSe","Mining",4.61019706252691,0.000140235666560842,0.00037994577386294,"***","Bacteria | Chloroflexi | Thermomicrobia | Thermomicrobiales"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Thermomicrobiales|f__Thermomicrobiaceae","LEfSe","Mining",4.61019706252691,0.000140235666560842,0.00037994577386294,"***","Bacteria | Chloroflexi | Thermomicrobia | Thermomicrobiales | Thermomicrobiaceae"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Chloroflexi|c__Thermomicrobia|o__Thermomicrobiales|f__Thermomicrobiaceae|g__Thermomicrobium","LEfSe","Mining",4.61019706252691,0.000140235666560842,0.00037994577386294,"***","Bacteria | Chloroflexi | Thermomicrobia | Thermomicrobiales | Thermomicrobiaceae | Thermomicrobium"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Gemmatimonadota","LEfSe","Smelting",4.60968908859834,7.90046165867986e-05,0.00037994577386294,"***","Bacteria | Gemmatimonadota"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes","LEfSe","Smelting",4.60968908859834,7.90046165867986e-05,0.00037994577386294,"***","Bacteria | Gemmatimonadota | Gemmatimonadetes"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales","LEfSe","Smelting",4.6084913710213,0.000189729147516392,0.00037994577386294,"***","Bacteria | Gemmatimonadota | Gemmatimonadetes | Gemmatimonadales"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae","LEfSe","Smelting",4.6084913710213,0.000189729147516392,0.00037994577386294,"***","Bacteria | Gemmatimonadota | Gemmatimonadetes | Gemmatimonadales | Gemmatimonadaceae"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Gemmatimonadota|c__Gemmatimonadetes|o__Gemmatimonadales|f__Gemmatimonadaceae|g__Gemmatimonas","LEfSe","Smelting",4.6084913710213,0.000189729147516392,0.00037994577386294,"***","Bacteria | Gemmatimonadota | Gemmatimonadetes | Gemmatimonadales | Gemmatimonadaceae | Gemmatimonas"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Bacteroidota|c__Bacteroidia","LEfSe","Tailing",4.60563848572747,7.90046165867986e-05,0.00037994577386294,"***","Bacteria | Bacteroidota | Bacteroidia"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales","LEfSe","Control",4.5964618050106,0.000122287123468978,0.00037994577386294,"***","Bacteria | Actinobacteriota | Thermoleophilia | Solirubrobacterales"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae","LEfSe","Control",4.5964618050106,0.000122287123468978,0.00037994577386294,"***","Bacteria | Actinobacteriota | Thermoleophilia | Solirubrobacterales | Solirubrobacteraceae"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Actinobacteriota|c__Thermoleophilia|o__Solirubrobacterales|f__Solirubrobacteraceae|g__Solirubrobacter","LEfSe","Control",4.5964618050106,0.000122287123468978,0.00037994577386294,"***","Bacteria | Actinobacteriota | Thermoleophilia | Solirubrobacterales | Solirubrobacteraceae | Solirubrobacter"
"Control - Mining - Smelting - Tailing","k__Bacteria|p__Bacillota|c__Clostridia|o__Clostridiales","LEfSe","Smelting",4.5945157184331,0.000108340244021964,0.00037994577386294,"***","Bacteria | Bacillota | Clostridia | Clostridiales"
